POS,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w,Season
47,Murugan Ashwin PBKS,5,10,10,34,255,3/21,51,7.5,40.8,0,0,2019
48,Washington Sundar RCB,4,3,3,9,74,3/16,18.5,8.22,13.5,0,0,2019
49,Dale Steyn RCB,4,2,2,8,69,3/11,17.25,8.62,12,0,0,2019
50,Ish Sodhi RR,4,2,2,7,67,3/26,16.75,9.34,10.75,0,0,2019
51,Prasidh Krishna KKR,4,11,11,40,377,4/30,94.25,9.34,60.5,0,0,2019
52,Kuldeep Yadav KKR,4,9,9,33,286,4/20,71.5,8.66,49.5,0,0,2019
53,Mitchell Santner CSK,4,4,4,14,94,2/13,23.5,6.71,21,0,0,2019
54,Varun Aaron RR,4,5,5,12,116,3/16,29,9.66,18,0,0,2019
55,Mujeeb Ur Rahman PBKS,3,5,5,19,191,3/27,63.66,10.05,38,0,0,2019
56,Arshdeep Singh PBKS,3,3,3,10,109,5/1,36.33,10.9,20,0,0,2019
57,Nitish Rana KKR,3,14,6,8,72,2/11,24,9,16,0,0,2019
58,Ankit Rajpoot PBKS,3,4,4,16,152,5/14,50.66,9.5,32,0,0,2019
59,Pawan Negi RCB,3,7,4,11,102,4/18,34,9.13,22.33,0,0,2019
60,Andrew Tye PBKS,3,6,6,22,233,5/17,77.66,10.59,44,0,0,2019
61,Mitchell McClenaghan MI,3,5,5,18,142,4/21,47.33,7.88,36,0,0,2019
62,Shakib Al Hasan SRH,2,3,3,11,95,3/17,47.5,8.76,32.5,0,0,2019
63,Shahbaz Nadeem SRH,2,3,3,9,90,3/16,45,10,27,0,0,2019
64,Scott Kuggeleijn CSK,2,2,2,8,71,2/1,35.5,8.87,24,0,0,2019
65,Sandeep Warrier KKR,2,3,3,12,85,2/1,42.5,7.08,36,0,0,2019
66,Marcus Stoinis RCB,2,10,6,16,145,4/15,72.5,8.7,50,0,0,2019
67,Riyan Parag RR,2,7,7,14,121,1/10,60.5,8.64,42,0,0,2019
68,Harshal Patel DC,2,2,2,8,77,5/27,38.5,9.62,24,0,0,2019
69,Rahul Tewatia DC,2,5,3,6,42,3/18,21,6.63,19,0,0,2019
70,Jagadeesha Suchith DC,2,1,1,4,28,2/14,14,7,12,0,0,2019
71,Lockie Ferguson KKR,2,5,5,17,183,3/15,91.5,10.76,51,0,0,2019
72,Abhishek Sharma SRH,1,3,2,2,21,2/4,21,10.5,12,0,0,2019
73,Deepak Hooda SRH,1,11,2,2,21,2/16,21,10.5,12,0,0,2019
74,Vijay Shankar SRH,1,15,5,8,70,2/19,70,8.75,48,0,0,2019
75,Varun Chakaravarthy PBKS,1,1,1,3,35,5/20,35,11.66,18,0,0,2019
76,Mayank Markande MI,1,3,3,6,59,4/23,59,9.83,36,0,0,2019
77,Kulwant Khejroliya RCB,1,2,2,5,47,2/1,47,9.4,30,0,0,2019
78,Krishnappa Gowtham RR,1,7,7,20,166,2/12,166,8.3,120,0,0,2019
79,Tim Southee RCB,1,3,3,9,118,3/24,118,13.11,54,0,0,2019
80,Karn Sharma CSK,1,1,1,3,33,4/16,33,11.64,17,0,0,2019
81,Stuart Binny RR,1,8,5,7,44,2/14,44,6.28,42,0,0,2019
82,Anukul Roy MI,1,1,1,2,11,1/11,11,5.5,12,0,0,2019
83,Mohit Sharma CSK,1,1,1,3,27,4/14,27,9,18,0,0,2019
84,Sherfane Rutherford DC,1,7,6,7,59,1/6,59,8.63,41,0,0,2019
85,Ben Cutting MI,1,3,1,2,27,2/20,27,13.5,12,0,0,2019
86,Jayant Yadav MI,1,2,2,7,50,1/23,50,7.14,42,0,0,2019
87,Prithvi Raj Yarra KKR,1,2,2,5,57,1/29,57,11.4,30,0,0,2019
,,,,,,,,,,,,,2020
1,Kagiso Rabada DC,30,17,17,65,548,4/21,18.26,8.34,13.13,2,0,2020
2,Jasprit Bumrah MI,27,15,15,60,404,4/14,14.96,6.73,13.33,2,0,2020
3,Trent Boult MI,25,15,15,57,457,4/18,18.28,7.97,13.76,1,0,2020
4,Anrich Nortje DC,22,16,16,61,512,3/1,23.27,8.39,16.63,0,0,2020
5,Yuzvendra Chahal RCB,21,15,15,57,405,4/25,19.28,7.08,16.33,0,0,2020
6,Mohammad Shami PBKS,20,14,14,53,460,3/15,23,8.57,16.1,0,0,2020
7,Jofra Archer RR,20,14,14,55,365,3/15,18.25,6.55,16.7,0,0,2020
8,Rashid Khan SRH,20,16,16,64,344,3/19,17.2,5.37,19.2,0,0,2020
9,Varun Chakaravarthy KKR,17,13,13,52,356,5/20,20.94,6.84,18.35,0,1,2020
10,T Natarajan SRH,16,16,16,63,504,2/24,31.5,8.02,23.56,0,0,2020
11,Rahul Chahar MI,15,15,15,53,433,4/27,28.86,8.16,21.2,0,0,2020
12,Jason Holder SRH,14,7,7,28,233,4/1,16.64,8.32,12,0,0,2020
13,Sandeep Sharma SRH,14,13,13,52,374,4/20,26.71,7.19,22.28,0,0,2020
14,Marcus Stoinis DC,13,17,13,29,283,4/15,21.76,9.53,13.69,0,0,2020
15,Ravichandran Ashwin DC,13,15,15,51,391,4/1,30.07,7.66,23.53,0,0,2020
16,Sam Curran CSK,13,14,13,42,344,4/11,26.46,8.19,19.38,0,0,2020
17,Pat Cummins KKR,12,14,14,52,409,4/1,34.08,7.86,26,1,0,2020
18,Ravi Bishnoi PBKS,12,14,14,51,376,3/24,31.33,7.37,25.5,0,0,2020
19,Deepak Chahar CSK,12,14,14,52,396,4/13,33,7.61,26,0,0,2020
20,Mohammed Siraj RCB,11,9,9,27,236,4/1,21.45,8.68,14.81,0,0,2020
21,James Pattinson MI,11,10,10,35,320,2/19,29.09,9.01,19.36,0,0,2020
22,Chris Morris RCB,11,9,9,31,210,4/23,19.09,6.63,17.27,1,0,2020
23,Shreyas Gopal RR,10,14,14,50,427,4/16,42.7,8.54,30,0,0,2020
24,Murugan Ashwin PBKS,10,9,9,31,235,3/21,23.5,7.46,18.9,0,0,2020
25,Shardul Thakur CSK,10,9,9,32,275,3/19,27.5,8.5,19.4,0,0,2020
26,Rahul Tewatia RR,10,14,14,46,326,3/18,32.6,7.08,27.6,0,0,2020
27,Lungi Ngidi  CSK,9,4,4,16,167,4/10,18.55,10.43,10.66,0,0,2020
28,Kartik Tyagi RR,9,10,10,38,367,2/1,40.77,9.61,25.44,0,0,2020
29,Arshdeep Singh PBKS,9,8,8,25,218,5/1,24.22,8.77,16.55,0,0,2020
30,Axar Patel DC,9,15,15,51,327,4/21,36.33,6.41,34,0,0,2020
31,Shivam Mavi KKR,9,8,8,26,212,4/21,23.55,8.15,17.33,0,0,2020
32,Chris Jordan PBKS,9,9,9,31,304,4/11,33.77,9.65,21,0,0,2020
33,Khaleel Ahmed SRH,8,7,7,25,242,3/21,30.25,9.42,19.25,0,0,2020
34,Isuru Udana RCB,8,10,10,29,282,2/1,35.25,9.72,21.75,0,0,2020
35,Washington Sundar RCB,8,15,15,50,298,3/16,37.25,5.96,37.5,0,0,2020
36,Piyush Chawla CSK,6,7,7,21,191,4/17,31.83,9.09,21,0,0,2020
37,Navdeep Saini RCB,6,13,13,45,379,2/24,63.16,8.29,45.66,0,0,2020
38,Sheldon Cottrell PBKS,6,6,6,20,176,2/17,29.33,8.8,20,0,0,2020
39,Lockie Ferguson KKR,6,5,5,20,148,3/15,24.66,7.46,19.83,0,0,2020
40,Ravindra Jadeja CSK,6,14,13,36,318,5/16,53,8.75,36.33,0,0,2020
41,Krunal Pandya MI,6,16,16,50,380,3/14,63.33,7.57,50.16,0,0,2020
42,Dwayne Bravo CSK,6,6,6,21,180,4/22,30,8.57,21,0,0,2020
43,Andre Russell KKR,6,10,7,18,175,5/15,29.16,9.72,18,0,0,2020
44,Shahbaz Nadeem SRH,5,7,7,22,178,3/16,35.6,8.09,26.4,0,0,2020
45,Nathan Coulter-Nile MI,5,7,7,26,206,4/14,41.2,7.92,31.2,0,0,2020
46,Karn Sharma CSK,5,5,5,19,165,4/16,33,8.68,22.8,0,0,2020
47,Kamlesh Nagarkoti KKR,5,10,9,26,231,2/13,46.2,8.88,31.2,0,0,2020
48,Sunil Narine KKR,5,10,10,38,302,5/19,60.4,7.94,45.6,0,0,2020
49,Vijay Shankar SRH,4,7,5,13,82,2/19,20.5,6.22,19.75,0,0,2020
50,Shivam Dube RCB,4,11,5,9,73,2/15,18.25,8.11,13.5,0,0,2020
51,Kieron Pollard MI,4,16,11,21,190,4/1,47.5,9.04,31.5,0,0,2020
52,Prasidh Krishna KKR,4,6,6,17,164,4/30,41,9.37,26.25,0,0,2020
53,Jaydev Unadkat RR,4,7,7,23,228,5/25,57,9.91,34.5,0,0,2020
54,Bhuvneshwar Kumar SRH,3,4,4,14,99,5/19,33,6.98,28.33,0,0,2020
55,Glenn Maxwell PBKS,3,13,7,21,169,2/15,56.33,8.04,42,0,0,2020
56,Harshal Patel DC,3,5,5,15,134,5/27,44.66,8.93,30,0,0,2020
57,Tom Curran RR,3,5,5,18,208,3/29,69.33,11.44,36.33,0,0,2020
58,Tushar Deshpande DC,3,5,5,17,192,2/1,64,11.29,34,0,0,2020
59,Amit Mishra DC,3,3,3,10,72,5/17,24,7.2,20,0,0,2020
60,Ankit Rajpoot RR,2,6,6,17,199,5/14,99.5,11.7,51,0,0,2020
61,Siddarth Kaul SRH,2,1,1,4,64,4/29,32,16,12,0,0,2020
62,Ben Stokes RR,2,8,6,15,154,3/15,77,10.26,45,0,0,2020
63,Adam Zampa RCB,2,3,3,11,92,6/19,46,8.36,33,0,0,2020
64,Abhishek Sharma SRH,2,8,6,10,91,2/4,45.5,9.1,30,0,0,2020
65,Shahbaz Ahmed RCB,2,2,2,6,44,3/7,22,7.33,18,0,0,2020
66,Jimmy Neesham PBKS,2,5,5,15,148,3/12,74,9.86,45,0,0,2020
67,Mitchell Santner CSK,2,2,2,7,53,2/13,26.5,7.57,21,0,0,2020
68,Dale Steyn RCB,1,3,3,11,133,3/11,133,11.4,70,0,0,2020
69,Basil Thampi SRH,1,1,1,4,46,3/29,46,11.5,24,0,0,2020
70,Imran Tahir CSK,1,3,3,11,76,4/12,76,6.9,66,0,0,2020
71,Jayant Yadav MI,1,2,2,7,43,1/23,43,6.14,42,0,0,2020
72,Andrew Tye RR,1,1,1,4,50,5/17,50,12.5,24,0,0,2020
73,Josh Hazlewood CSK,1,3,3,10,64,3/24,64,6.4,60,0,0,2020
74,Mohit Sharma DC,1,1,1,4,45,4/14,45,11.25,24,0,0,2020
75,Krishnappa Gowtham PBKS,1,2,2,8,84,2/12,84,10.5,48,0,0,2020
76,Moeen Ali RCB,1,3,3,5,42,3/7,42,8.4,30,0,0,2020
77,Kuldeep Yadav KKR,1,5,4,12,92,4/20,92,7.66,72,0,0,2020
78,Abdul Samad SRH,1,12,3,7,96,1/1,96,13.71,42,0,0,2020
,,,,,,,,,,,,,2021
1,Harshal Patel RCB,32,15,15,56,459,5/27,14.34,8.14,10.56,1,1,2021
2,Avesh Khan DC,24,16,16,61,450,3/13,18.75,7.37,15.25,0,0,2021
3,Jasprit Bumrah MI,21,14,14,55,410,4/14,19.52,7.45,15.71,0,0,2021
4,Shardul Thakur CSK,21,16,16,60,527,3/19,25.09,8.8,17.09,0,0,2021
5,Mohammad Shami PBKS,19,14,14,52,395,3/15,20.78,7.5,16.63,0,0,2021
6,Rashid Khan SRH,18,14,14,56,375,3/19,20.83,6.69,18.66,0,0,2021
7,Arshdeep Singh PBKS,18,12,12,41,342,5/1,19,8.27,13.77,0,1,2021
8,Varun Chakaravarthy KKR,18,17,17,68,448,5/20,24.88,6.58,22.66,0,0,2021
9,Yuzvendra Chahal RCB,18,15,15,53,374,4/25,20.77,7.05,17.66,0,0,2021
10,Jason Holder SRH,16,8,8,32,247,4/1,15.43,7.75,11.93,1,0,2021
11,Sunil Narine KKR,16,14,14,56,361,5/19,22.56,6.44,21,1,0,2021
12,Chris Morris RR,15,11,11,41,376,4/23,25.06,9.17,16.4,1,0,2021
13,Axar Patel DC,15,12,12,46,306,4/21,20.4,6.65,18.4,0,0,2021
14,Kagiso Rabada DC,15,15,15,56,456,4/21,30.4,8.14,22.4,0,0,2021
15,Chetan Sakariya RR,14,14,14,52,426,3/31,30.42,8.19,22.28,0,0,2021
16,Deepak Chahar CSK,14,15,15,54,451,4/13,32.21,8.35,23.14,2,0,2021
17,Dwayne Bravo CSK,14,11,11,33,263,4/22,18.78,7.81,14.42,0,0,2021
18,Mustafizur Rahman RR,14,14,14,52,436,3/16,31.14,8.41,22.21,0,0,2021
19,Ravindra Jadeja CSK,13,16,16,49,346,5/16,26.61,7.06,22.61,0,0,2021
20,Lockie Ferguson KKR,13,8,8,30,224,3/15,17.23,7.46,13.84,0,0,2021
21,Trent Boult MI,13,14,14,51,406,4/18,31.23,7.9,23.69,0,0,2021
22,Rahul Chahar MI,13,11,11,43,318,4/27,24.46,7.39,19.84,1,0,2021
23,Ravi Bishnoi PBKS,12,9,9,35,222,3/24,18.5,6.34,17.5,0,0,2021
24,Anrich Nortje DC,12,8,8,30,187,3/1,15.58,6.16,15.16,0,0,2021
25,Prasidh Krishna KKR,12,10,10,38,351,4/30,29.25,9.11,19.25,0,0,2021
26,Shivam Mavi KKR,11,9,9,32,233,4/21,21.18,7.24,17.54,1,0,2021
27,Josh Hazlewood CSK,11,9,9,35,293,3/24,26.63,8.37,19.09,0,0,2021
28,Mohammed Siraj RCB,11,15,15,52,353,4/1,32.09,6.78,28.36,0,0,2021
29,Andre Russell KKR,11,10,8,19,188,5/15,17.09,9.89,10.36,0,1,2021
30,Pat Cummins KKR,9,7,7,27,237,4/1,26.33,8.83,17.88,0,0,2021
31,Sam Curran CSK,9,9,9,33,328,4/11,36.44,9.93,22,0,0,2021
32,Kyle Jamieson RCB,9,9,9,28,269,3/1,29.88,9.6,18.66,0,0,2021
33,Rahul Tewatia RR,8,14,13,37,340,3/18,42.5,9.18,27.75,0,0,2021
34,Siddarth Kaul SRH,7,8,8,30,247,4/29,35.28,8.23,25.71,0,0,2021
35,Nathan Coulter-Nile MI,7,5,5,20,127,4/14,18.14,6.35,17.14,1,0,2021
36,Ravichandran Ashwin DC,7,13,13,44,331,4/1,47.28,7.41,38.28,0,0,2021
37,Shahbaz Ahmed RCB,7,11,6,14,92,3/7,13.14,6.57,12,0,0,2021
38,Amit Mishra DC,6,4,4,14,109,5/17,18.16,7.78,14,1,0,2021
39,Bhuvneshwar Kumar SRH,6,11,11,42,335,5/19,55.83,7.97,42,0,0,2021
40,Moeen Ali CSK,6,15,10,25,161,3/7,26.83,6.35,25.33,0,0,2021
41,Lungi Ngidi  CSK,5,3,3,12,125,4/10,25,10.41,14.4,0,0,2021
42,Chris Woakes DC,5,3,3,11,82,3/1,16.4,7.45,13.2,0,0,2021
43,Krunal Pandya MI,5,13,12,33,265,3/14,53,7.98,39.8,0,0,2021
44,Jimmy Neesham MI,5,3,3,9,66,3/12,13.2,7.33,10.8,0,0,2021
45,Harpreet Brar PBKS,5,7,7,23,139,3/19,27.8,6.04,27.6,0,0,2021
46,Kieron Pollard MI,5,14,9,13,95,4/1,19,7.21,15.8,0,0,2021
47,Khaleel Ahmed SRH,5,7,7,27,219,3/21,43.8,8.11,32.4,0,0,2021
48,Abhishek Sharma SRH,4,8,6,10,64,2/4,16,6.4,15,0,0,2021
49,Lalit Yadav DC,4,7,5,14,101,2/13,25.25,7.21,21,0,0,2021
50,Jaydev Unadkat RR,4,6,6,22,168,5/25,42,7.63,33,0,0,2021
51,Tom Curran DC,4,3,3,11,104,3/29,26,9.17,17,0,0,2021
52,Chris Jordan PBKS,4,4,4,12,96,4/11,24,8,18,0,0,2021
53,Kartik Tyagi RR,4,4,4,14,124,2/1,31,8.85,21,0,0,2021
54,Moises Henriques PBKS,4,5,5,10,45,3/12,11.25,4.5,15,0,0,2021
55,Dan Christian RCB,4,9,9,16,155,2/10,38.75,9.3,25,0,0,2021
56,Riley Meredith PBKS,4,5,5,17,169,1/29,42.25,9.94,25.5,0,0,2021
57,Shakib Al Hasan KKR,4,8,8,26,187,3/17,46.75,7.19,39,0,0,2021
58,Washington Sundar RCB,3,6,6,16,118,3/16,39.33,7.37,32,0,0,2021
59,Venkatesh Iyer KKR,3,10,4,8,69,2/1,23,8.11,17,0,0,2021
60,Sandeep Sharma SRH,3,7,7,23,203,4/20,67.66,8.63,47,0,0,2021
61,Adam Milne MI,3,4,4,14,131,2/21,43.66,9.35,28,0,0,2021
62,Tim Southee KKR,3,3,3,12,95,3/24,31.66,7.91,24,0,0,2021
63,Vijay Shankar SRH,3,7,5,11,100,2/19,33.33,9.09,22,0,0,2021
64,Jhye Richardson PBKS,3,3,3,11,117,2/1,39,10.63,22,0,0,2021
65,Glenn Maxwell RCB,3,15,6,16,135,2/15,45,8.43,32,0,0,2021
66,George Garton RCB,3,5,5,15,135,1/27,45,9,30,0,0,2021
67,T Natarajan SRH,2,2,2,8,69,2/24,34.5,8.62,24,0,0,2021
68,Jayant Yadav MI,2,5,5,17,130,1/23,65,7.64,51,0,0,2021
69,Imran Tahir CSK,2,1,1,4,16,4/12,8,4,12,0,0,2021
70,Umran Malik SRH,2,3,3,12,96,1/21,48,8,36,0,0,2021
71,Marco Jansen MI,2,2,2,6,45,2/28,22.5,7.5,18,0,0,2021
72,Marcus Stoinis DC,2,10,8,11,117,4/15,58.5,10.47,33.5,0,0,2021
73,Mohammad Nabi SRH,2,3,3,8,86,4/11,43,10.75,24,0,0,2021
74,Mujeeb Ur Rahman SRH,2,1,1,4,29,3/27,14.5,7.25,12,0,0,2021
75,Deepak Hooda PBKS,2,12,7,16,136,2/16,68,8.5,48,0,0,2021
76,Fabian Allen PBKS,1,4,3,11,90,1/22,90,8.18,66,0,0,2021
77,Glenn Phillips RR,1,3,2,2,20,1/17,20,10,12,0,0,2021
78,Piyush Chawla MI,1,1,1,4,38,4/17,38,9.5,24,0,0,2021
79,Ishan Porel PBKS,1,1,1,4,39,1/1,39,9.75,24,0,0,2021
80,Daniel Sams RCB,1,2,2,6,39,1/24,39,6.5,36,0,0,2021
81,Ishant Sharma DC,1,3,3,12,97,5/12,97,8.08,72,0,0,2021
82,Kane Richardson RCB,1,1,1,3,29,3/13,29,9.66,18,0,0,2021
83,KM Asif CSK,1,1,1,2,18,2/1,18,8.3,13,0,0,2021
84,Shahbaz Nadeem SRH,1,1,1,4,36,3/16,36,9,24,0,0,2021
85,Lukman Meriwala DC,1,1,1,3,32,1/1,32,10.66,18,0,0,2021
86,Mahipal Lomror RR,1,4,4,7,47,1/22,47,6.71,42,0,0,2021
87,Riyan Parag RR,1,11,6,6,73,1/10,73,11.83,37,0,0,2021
88,Murugan Ashwin PBKS,1,3,3,11,97,3/21,97,8.81,66,0,0,2021
89,Nathan Ellis PBKS,1,3,3,12,98,1/20,98,8.16,72,0,0,2021
,,,,,,,,,,,,,2022
1,Yuzvendra Chahal RR,27,17,17,68,527,40/5,19.51,7.75,15.11,1,1,2022
2,Wanindu Hasaranga RCB,26,16,16,57,430,18/5,16.53,7.54,13.15,1,1,2022
3,Kagiso Rabada PBKS,23,13,13,48,406,33/4,17.65,8.45,12.52,2,0,2022
4,Umran Malik SRH,22,14,14,49.1,444,25/5,20.18,9.03,13.4,1,1,2022
5,Kuldeep Yadav DC,21,14,14,49.4,419,14/4,19.95,8.43,14.19,2,0,2022
6,Mohammad Shami GT,20,16,16,61,488,25/3,24.4,8,18.3,0,0,2022
7,Josh Hazlewood RCB,20,12,12,46.3,377,25/4,18.85,8.1,13.95,1,0,2022
8,Rashid Khan GT,19,16,16,63.5,421,24/4,22.15,6.59,20.15,1,0,2022
9,Harshal Patel RCB,19,15,15,53.3,410,34/4,21.57,7.66,16.89,1,0,2022
10,Prasidh Krishna RR,19,17,17,66.3,551,22/3,29,8.28,21,0,0,2022
11,Avesh Khan LSG,18,13,13,47.4,416,24/4,23.11,8.72,15.88,1,0,2022
12,T Natarajan SRH,18,11,11,43,406,10/3,22.55,9.44,14.33,0,0,2022
13,Andre Russell KKR,17,14,13,28.1,278,5/4,16.35,9.86,9.94,1,0,2022
14,Umesh Yadav KKR,16,12,12,48,339,23/4,21.18,7.06,18,1,0,2022
15,Trent Boult RR,16,16,16,62,492,18/2,30.75,7.93,23.25,0,0,2022
16,Khaleel Ahmed DC,16,10,10,39.1,315,25/3,19.68,8.04,14.68,0,0,2022
17,Dwayne Bravo CSK,16,10,10,34.2,299,20/3,18.68,8.7,12.87,0,0,2022
18,Mukesh Choudhary CSK,16,13,13,45.3,424,46/4,26.5,9.31,17.06,1,0,2022
19,Jasprit Bumrah MI,15,14,14,53.2,383,10/5,25.53,7.18,21.33,0,1,2022
20,Shardul Thakur DC,15,14,14,48.2,473,36/4,31.53,9.78,19.33,1,0,2022
21,Mohsin Khan LSG,14,9,9,33,197,16/4,14.07,5.96,14.14,1,0,2022
22,Rahul Chahar PBKS,14,13,13,46.4,360,25/3,25.71,7.71,20,0,0,2022
23,Tim Southee KKR,14,9,9,35,275,20/3,19.64,7.85,15,0,0,2022
24,Jason Holder LSG,14,12,12,41.3,391,31/3,27.92,9.42,17.78,0,0,2022
25,Ravi Bishnoi LSG,13,14,14,54,456,22/2,35.07,8.44,24.92,0,0,2022
26,Daniel Sams MI,13,11,11,42,370,30/4,28.46,8.8,19.38,1,0,2022
27,Bhuvneshwar Kumar SRH,12,14,14,52.1,383,22/3,31.91,7.34,26.08,0,0,2022
28,Maheesh Theekshana CSK,12,9,9,35,261,33/4,21.75,7.45,17.5,1,0,2022
29,Ravichandran Ashwin RR,12,17,17,67,503,17/3,41.91,7.5,33.5,0,0,2022
30,Lockie Ferguson GT,12,13,13,47.4,427,28/4,35.58,8.95,23.83,1,0,2022
31,Obed McCoy RR,11,7,7,25.5,237,23/3,21.54,9.17,14.09,0,0,2022
32,Yash Dayal GT,11,9,9,32,296,40/3,26.9,9.25,17.45,0,0,2022
33,Krunal Pandya LSG,10,14,12,38,265,19/3,26.5,6.97,22.8,0,0,2022
34,Arshdeep Singh PBKS,10,14,14,50,385,37/3,38.5,7.7,30,0,0,2022
35,Sunil Narine KKR,9,14,14,56,312,21/2,34.66,5.57,37.33,0,0,2022
36,Murugan Ashwin MI,9,8,8,29,228,14/2,25.33,7.86,19.33,0,0,2022
37,Dushmantha Chameera LSG,9,12,12,44,384,17/2,42.66,8.72,29.33,0,0,2022
38,Anrich Nortje DC,9,6,6,22.2,217,42/3,24.11,9.71,14.88,0,0,2022
39,Mohammed Siraj RCB,9,15,15,51,514,30/2,57.11,10.07,34,0,0,2022
40,Moeen Ali CSK,8,10,10,23.5,158,13/3,19.75,6.62,17.87,0,0,2022
41,Hardik Pandya GT,8,15,10,30.3,222,17/3,27.75,7.27,22.87,0,0,2022
42,Mustafizur Rahman DC,8,8,8,32,244,18/3,30.5,7.62,24,0,0,2022
43,Riley Meredith MI,8,8,8,28,236,24/2,29.5,8.42,21,0,0,2022
44,Kuldeep Sen RR,8,7,7,25.1,237,20/4,29.62,9.41,18.87,1,0,2022
45,Jagadeesha Suchith SRH,7,5,5,18,140,12/2,20,7.77,15.42,0,0,2022
46,Marco Jansen SRH,7,8,8,32,274,25/3,39.14,8.56,27.42,0,0,2022
47,Alzarri Joseph GT,7,9,9,30,264,34/2,37.71,8.8,25.71,0,0,2022
48,Pat Cummins KKR,7,5,5,19.5,212,22/3,30.28,10.68,17,0,0,2022
49,Glenn Maxwell RCB,6,13,10,24,165,22/2,27.5,6.87,24,0,0,2022
50,Axar Patel DC,6,13,13,43,321,10/2,53.5,7.46,43,0,0,2022
51,Sai Kishore GT,6,5,5,16,121,7/2,20.16,7.56,16,0,0,2022
52,Rishi Dhawan PBKS,6,6,6,19,156,36/2,26,8.21,19,0,0,2022
53,Varun Chakaravarthy KKR,6,11,11,39,332,22/1,55.33,8.51,39,0,0,2022
54,Washington Sundar SRH,6,9,8,28,239,21/2,39.83,8.53,28,0,0,2022
55,Liam Livingstone PBKS,6,14,12,23,202,27/3,33.66,8.78,23,0,0,2022
56,Ramandeep Singh MI,6,5,3,6,54,20/3,9,9,6,0,0,2022
57,Jaydev Unadkat MI,6,5,5,20,190,32/2,31.66,9.5,20,0,0,2022
58,Dwaine Pretorius CSK,6,6,6,21,210,30/2,35,10,21,0,0,2022
59,Tymal Mills MI,6,5,5,17,190,35/3,31.66,11.17,17,0,0,2022
60,Odean Smith PBKS,6,6,6,15,178,30/4,29.66,11.86,15,1,0,2022
61,Ravindra Jadeja CSK,5,10,10,33,248,39/3,49.6,7.51,39.6,0,0,2022
62,Kumar Kartikeya Singh MI,5,4,4,13,102,22/2,20.4,7.84,15.6,0,0,2022
63,Krishnappa Gowtham LSG,5,4,4,12,99,30/2,19.8,8.25,14.4,0,0,2022
64,Basil Thampi MI,5,5,5,16,152,35/3,30.4,9.5,19.2,0,0,2022
65,Shivam Mavi KKR,5,6,6,22,227,33/1,45.4,10.31,26.4,0,0,2022
66,Akash Deep RCB,5,5,5,18.5,205,45/3,41,10.88,22.6,0,0,2022
67,Mitchell Santner CSK,4,6,6,19,130,15/1,32.5,6.84,28.5,0,0,2022
68,Simarjeet Singh CSK,4,6,6,18,138,27/2,34.5,7.66,27,0,0,2022
69,Lalit Yadav DC,4,12,8,18,150,11/2,37.5,8.33,27,0,0,2022
70,Mitchell Marsh DC,4,8,4,12,102,25/2,25.5,8.5,18,0,0,2022
71,Kieron Pollard MI,4,11,6,14,125,8/2,31.25,8.92,21,0,0,2022
72,Harpreet Brar PBKS,4,5,5,16,146,26/3,36.5,9.12,24,0,0,2022
73,Shahbaz Ahmed RCB,4,16,14,35,336,26/2,84,9.6,52.5,0,0,2022
74,Marcus Stoinis LSG,4,11,5,7,79,23/3,19.75,11.28,10.5,0,0,2022
75,Pradeep Sangwan GT,3,3,3,9,65,19/2,21.66,7.22,18,0,0,2022
76,Chetan Sakariya DC,3,3,3,11,84,23/2,28,7.63,22,0,0,2022
77,Nathan Ellis PBKS,3,2,2,6,55,40/3,18.33,9.16,12,0,0,2022
78,Vaibhav Arora PBKS,3,5,5,17.5,164,21/2,54.66,9.19,35.66,0,0,2022
79,Romario Shepherd SRH,3,3,3,9,98,42/2,32.66,10.88,18,0,0,2022
80,Navdeep Saini RR,3,2,2,6,72,36/2,24,12,12,0,0,2022
81,Ayush Badoni LSG,2,13,2,2,11,5/1,5.5,5.5,6,0,0,2022
82,Prashant Solanki CSK,2,2,2,6,38,20/2,19,6.33,18,0,0,2022
83,Matheesha Pathirana CSK,2,2,2,6.5,52,24/2,26,7.6,20.5,0,0,2022
84,Sandeep Sharma PBKS,2,5,5,20,153,18/1,76.5,7.65,60,0,0,2022
85,Hrithik Shokeen MI,2,5,5,15,127,47/2,63.5,8.46,45,0,0,2022
86,Fazalhaq Farooqi SRH,2,3,3,12,110,32/2,55,9.16,36,0,0,2022
87,Andrew Tye LSG,2,3,3,11,107,40/2,53.5,9.72,33,0,0,2022
88,Varun Aaron GT,2,2,2,5,52,45/2,26,10.4,15,0,0,2022
89,Chris Jordan CSK,2,4,4,12.5,135,23/2,67.5,10.51,38.5,0,0,2022
90,Darshan Nalkande GT,2,2,2,5.1,59,37/2,29.5,11.41,15.5,0,0,2022
91,David Willey RCB,1,4,4,11,72,29/1,72,6.54,66,0,0,2022
92,Anukul Roy KKR,1,2,2,7,55,28/1,55,7.85,42,0,0,2022
93,Mayank Markande MI,1,2,2,7,57,26/1,57,8.14,42,0,0,2022
94,Tushar Deshpande CSK,1,2,2,7,63,40/1,63,9,42,0,0,2022
95,Kartik Tyagi SRH,1,2,2,8,79,42/1,79,9.87,48,0,0,2022
96,Harshit Rana KKR,1,2,2,5,51,24/1,51,10.2,30,0,0,2022
97,Aiden Markram SRH,1,14,4,6,64,8/1,64,10.66,36,0,0,2022
