Pos,Player,Team,Matches,Innings,Not Outs,Runs,HS,Avg,BF,SR,100s,50s,4s,6s,Season
128,Ajantha MendisKKR,RCB,0,4,1,0,0*,0,1,0,0,0,0,0,2009
129,KP AppannaRCB,MI,0,5,1,1,0*,0,1,0,0,0,0,0,2009
130,Lasith MalingaMI,,0,13,3,1,0*,0,1,0,0,0,0,0,2009
1,Sachin TendulkarMI,RCB,618,15,15,2,89*,47.53,466,132.61,0,5,86,3,2010
2,Jacques KallisRCB,CSK,572,16,16,4,89*,47.66,494,115.78,0,6,67,9,2010
3,Suresh RainaCSK,KKR,520,16,16,5,83*,47.27,364,142.85,0,4,45,22,2010
4,Sourav GangulyKKR,CSK,493,14,14,1,88,37.92,419,117.66,0,4,58,15,2010
5,Murali VijayCSK,PBKS,458,15,15,2,127,35.23,292,156.84,1,2,36,26,2010
6,Mahela JayawardenaPBKS,DEC,439,13,13,3,110*,43.9,298,147.31,1,1,55,11,2010
7,Andrew SymondsDEC,MI,429,16,16,2,54,30.64,341,125.8,0,4,35,18,2010
8,Saurabh TiwaryMI,DEC,419,16,15,1,61,29.92,309,135.59,0,3,29,18,2010
9,Rohit SharmaDEC,RR,404,16,16,2,73,28.85,302,133.77,0,3,36,14,2010
10,Naman OjhaRR,RCB,377,14,14,2,94*,31.41,285,132.28,0,2,42,15,2010
11,Robin UthappaRCB,PBKS,374,16,14,2,68*,31.16,218,171.55,0,3,21,27,2010
12,Kumar SangakkaraPBKS,MI,357,13,12,0,56,29.75,257,138.91,0,2,47,5,2010
13,Ambati RayuduMI,DC,356,14,14,1,55*,27.38,246,144.71,0,2,34,13,2010
14,Virender SehwagDC,CSK,356,14,14,0,75,25.42,218,163.3,0,3,47,14,2010
15,Subramaniam BadrinathCSK,CSK,356,16,15,4,55*,32.36,303,117.49,0,2,41,5,2010
16,Matthew HaydenCSK,RR,346,16,16,0,93,21.62,279,124.01,0,1,37,16,2010
17,Yusuf PathanRR,DEC,333,14,14,2,100,27.75,201,165.67,1,1,22,24,2010
18,Tirumalasetti SumanDEC,RCB,307,14,14,5,78*,34.11,257,119.45,0,2,23,12,2010
19,Virat KohliRCB,KKR,307,16,13,2,58,27.9,212,144.81,0,1,26,12,2010
20,Chris GayleKKR,DEC,292,9,9,0,88,32.44,184,158.69,0,2,30,16,2010
21,Adam GilchristDEC,CSK,289,16,16,0,54,18.06,185,156.21,0,1,31,16,2010
22,MS DhoniCSK,DC,287,13,11,2,66*,31.88,210,136.66,0,2,26,8,2010
23,David WarnerDC,RR,282,11,11,1,107*,28.2,191,147.64,1,1,27,14,2010
24,Michael LumbRR,DC,278,11,11,0,83,25.27,192,144.79,0,1,45,6,2010
25,Dinesh KarthikDC,DC,278,14,14,1,69,21.38,237,117.29,0,1,26,6,2010
26,Gautam GambhirDC,PBKS,277,11,10,1,72,30.77,217,127.64,0,2,32,2,2010
27,Irfan PathanPBKS,MI,276,14,13,5,60,34.5,186,148.38,0,1,21,10,2010
28,Kieron PollardMI,DEC,273,14,14,2,45*,22.75,147,185.71,0,0,23,17,2010
29,Herschelle GibbsDEC,RCB,267,10,10,0,50,26.7,235,113.61,0,1,26,9,2010
30,Rahul DravidRCB,PBKS,256,16,11,2,52,28.44,199,128.64,0,1,34,3,2010
31,Yuvraj SinghPBKS,RCB,255,14,14,2,43,21.25,199,128.14,0,0,20,14,2010
32,Manish PandeyRCB,PBKS,249,13,13,1,42*,20.75,226,110.17,0,0,27,7,2010
33,Ravi BoparaPBKS,KKR,248,10,9,1,77,31,214,115.88,0,2,25,3,2010
34,Manoj TiwaryKKR,RCB,237,13,11,2,75*,26.33,186,127.41,0,2,23,5,2010
35,Kevin PietersenRCB,KKR,236,7,7,3,66*,59,157,150.31,0,2,23,8,2010
36,Angelo MathewsKKR,PBKS,233,14,11,4,65*,33.28,184,126.63,0,1,18,8,2010
37,Manvinder BislaPBKS,DC,218,10,10,0,75,21.8,178,122.47,0,1,27,6,2010
38,Paul CollingwoodDC,CSK,203,8,7,2,75*,40.6,156,130.12,0,3,9,13,2010
39,Albie MorkelCSK,MI,198,14,11,3,62,24.75,131,151.14,0,1,10,13,2010
40,Shikhar DhawanMI,RR,191,10,10,0,56,19.1,170,112.35,0,2,23,3,2010
41,Shane WatsonRR,RR,185,6,5,0,60,37,114,162.28,0,2,18,9,2010
42,Abhishek JhunjhunwalaRR,RR,183,13,11,2,53*,20.33,166,110.24,0,1,16,4,2010
43,Adam VogesRR,DEC,181,9,7,3,45*,45.25,143,126.57,0,0,15,3,2010
44,Mohnish MishraDEC,RR,166,11,11,0,41,15.09,144,115.27,0,0,18,6,2010
45,Faiz FazalRR,MI,164,10,9,1,45,20.5,154,106.49,0,0,19,1,2010
46,JP DuminyMI,DC,157,7,7,2,42*,31.4,131,119.84,0,0,13,5,2010
47,Mithun ManhasDC,PBKS,157,9,8,4,32*,39.25,149,105.36,0,0,14,0,2010
48,Shaun MarshPBKS,KKR,147,4,4,1,88*,49,114,128.94,0,2,14,6,2010
49,Cheteshwar PujaraKKR,KKR,122,10,6,2,45*,30.5,115,106.08,0,0,14,3,2010
50,Owais ShahKKR,KKR,115,5,5,3,58*,57.5,95,121.05,0,1,7,5,2010
51,Brendon McCullumKKR,MI,114,5,5,1,57*,28.5,110,103.63,0,1,14,2,2010
52,Rajagopal SathishMI,DC,112,12,11,4,24,16,96,116.66,0,0,11,0,2010
53,AB de VilliersDC,RR,111,7,7,0,45,15.85,119,93.27,0,0,7,0,2010
54,Paras DograRR,MI,107,9,8,0,41,13.37,106,100.94,0,0,4,5,2010
55,Harbhajan SinghMI,KKR,105,15,7,3,49*,26.25,63,166.66,0,0,12,5,2010
56,Brad HodgeKKR,KKR,99,4,4,0,50,24.75,90,110,0,1,11,1,2010
57,David HusseyKKR,RCB,94,6,6,2,31,23.5,86,109.3,0,0,5,5,2010
58,Ross TaylorRCB,DC,88,7,7,3,31*,22,75,117.33,0,0,2,6,2010
59,Kedar JadhavDC,CSK,76,5,5,2,50*,25.33,56,135.71,0,1,7,2,2010
60,Parthiv PatelCSK,KKR,72,4,4,0,57,18,79,91.13,0,1,6,2,2010
61,Wriddhiman SahaKKR,MI,67,13,7,4,22,22.33,53,126.41,0,0,9,1,2010
62,Ryan McLarenMI,DC,66,10,7,4,40,22,69,95.65,0,0,7,0,2010
63,Andrew McDonaldDC,DEC,65,4,3,3,33*,0,52,125,0,0,3,2,2010
64,VVS LaxmanDEC,DEC,64,6,6,1,22,12.8,60,106.66,0,0,7,1,2010
65,Anirudh SinghDEC,PBKS,63,5,4,0,40,15.75,66,95.45,0,0,6,1,2010
66,Piyush ChawlaPBKS,MI,62,14,6,1,22,12.4,60,103.33,0,0,7,0,2010
67,Dwayne BravoMI,MI,61,10,8,1,23,8.71,53,115.09,0,0,3,4,2010
68,Abhishek NayarMI,RR,58,3,3,1,27,29,51,113.72,0,0,4,2,2010
69,Abhishek RautRR,MI,56,6,5,3,32*,28,48,116.66,0,0,3,3,2010
70,Aditya TareMI,RCB,50,7,4,0,23,12.5,36,138.88,0,0,5,3,2010
71,Cameron WhiteRCB,DEC,48,7,5,3,21*,24,33,145.45,0,0,3,3,2010
72,Ryan HarrisDEC,RR,45,8,5,1,15,11.25,39,115.38,0,0,2,2,2010
73,Graeme SmithRR,DC,44,2,2,0,26,22,39,112.82,0,0,7,0,2010
74,Tillakaratne DilshanDC,PBKS,44,6,6,0,17,7.33,53,83.01,0,0,6,0,2010
75,Adrian BarathPBKS,KKR,42,3,3,1,33,21,42,100,0,0,5,1,2010
76,Ajit AgarkarKKR,DC,40,7,4,3,17,40,29,137.93,0,0,4,0,2010
77,Amit MishraDC,CSK,39,14,7,3,12,9.75,51,76.47,0,0,1,0,2010
78,Michael HusseyCSK,KKR,37,3,3,1,15,18.5,44,84.09,0,0,2,0,2010
79,Laxmi Ratan ShuklaKKR,DEC,36,4,2,0,19,18,26,138.46,0,0,3,2,2010
80,Bodapati SumanthDEC,RCB,35,5,4,3,16,35,37,94.59,0,0,3,0,2010
81,Eoin MorganRCB,RR,35,6,4,1,17,11.66,30,116.66,0,0,2,1,2010
82,Aditya DoleRR,DEC,34,3,2,0,30,17,22,154.54,0,0,3,1,2010
83,Venugopal RaoDEC,DC,34,6,5,1,24,8.5,43,79.06,0,0,3,1,2010
84,Daniel VettoriDC,MI,33,3,3,2,19*,33,27,122.22,0,0,4,0,2010
85,Sanath JayasuriyaMI,DC,33,4,4,0,23,8.25,31,106.45,0,0,4,1,2010
86,MF MaharoofDC,DEC,31,7,4,1,28,10.33,23,134.78,0,0,2,2,2010
87,Chaminda VaasDEC,CSK,30,6,5,1,16,7.5,34,88.23,0,0,1,1,2010
88,Ravichandran AshwinCSK,DEC,30,12,6,2,11*,7.5,40,75,0,0,2,0,2010
89,Rahul SharmaDEC,DEC,29,6,4,1,14*,9.66,26,111.53,0,0,3,1,2010
90,Mitchell MarshDEC,PBKS,28,3,2,0,15,14,30,93.33,0,0,1,1,2010
91,Mohammad KaifPBKS,RCB,28,4,3,0,14,9.33,30,93.33,0,0,2,0,2010
92,Sridharan SriramRCB,PBKS,27,1,1,0,27,27,29,93.1,0,0,3,0,2010
93,Shanthakumaran SreesanthPBKS,RCB,27,6,3,3,15*,0,21,128.57,0,0,5,0,2010
94,Vinay KumarRCB,CSK,27,14,5,1,10*,6.75,32,84.37,0,0,1,0,2010
95,JM KempCSK,DC,26,5,2,0,22,13,24,108.33,0,0,1,1,2010
96,Rajat BhatiaDC,MI,24,5,3,0,21,8,17,141.17,0,0,1,2,2010
97,Zaheer KhanMI,DC,24,14,4,3,23*,24,13,184.61,0,0,3,1,2010
98,Ashish NehraDC,DEC,23,4,2,1,22*,23,20,115,0,0,2,1,2010
99,Dwayne SmithDEC,KKR,22,3,3,1,13*,11,25,88,0,0,1,1,2010
100,Murali KartikKKR,RR,22,10,2,0,21,11,22,100,0,0,2,0,2010
101,Aaron FinchRR,RR,21,1,1,0,21,21,21,100,0,0,0,1,2010
102,Siddharth TrivediRR,RR,20,11,4,2,9,10,14,142.85,0,0,3,1,2010
103,Damien MartynRR,CSK,19,1,1,0,19,19,24,79.16,0,0,1,0,2010
104,George BaileyCSK,PBKS,18,1,1,0,18,18,27,66.66,0,0,2,0,2010
105,Karan GoelPBKS,CSK,18,6,2,1,17*,18,20,90,0,0,1,1,2010
106,Lakshmipathy BalajiCSK,CSK,18,7,3,1,15,9,20,90,0,0,1,1,2010
107,Doug BollingerCSK,MI,18,8,2,2,16*,0,17,105.88,0,0,1,1,2010
108,Chandan MadanMI,RR,15,1,1,0,15,15,19,78.94,0,0,3,0,2010
109,Sumit NarwalRR,RCB,14,5,3,1,12,7,12,116.66,0,0,2,0,2010
110,Mark BoucherRCB,RCB,13,5,2,1,11*,13,10,130,0,0,0,1,2010
111,Dale SteynRCB,RR,13,15,4,0,8,3.25,17,76.47,0,0,2,0,2010
112,Dimitri MascarenhasRR,RR,12,2,2,1,9*,12,10,120,0,0,0,0,2010
113,Shaun TaitRR,DC,12,8,2,1,11,12,13,92.3,0,0,0,1,2010
114,Moises HenriquesDC,PBKS,11,1,1,0,11,11,5,220,0,0,2,0,2010
115,Brett LeePBKS,DEC,11,4,3,2,7*,11,9,122.22,0,0,1,0,2010
116,Kemar RoachDEC,CSK,10,2,1,0,10,10,9,111.11,0,0,1,0,2010
117,Thilan ThusharaCSK,DC,10,4,2,1,8,10,11,90.9,0,0,0,0,2010
118,Pradeep SangwanDC,RR,10,8,2,1,6*,10,14,71.42,0,0,0,0,2010
119,Shane WarneRR,RR,10,14,7,2,4,2,19,52.63,0,0,0,0,2010
120,Morne MorkelRR,PBKS,9,2,2,1,7*,9,16,56.25,0,0,1,0,2010
121,Bipul SharmaPBKS,DEC,9,5,2,2,8*,0,7,128.57,0,0,1,0,2010
122,RP SinghDEC,RCB,9,12,5,3,4*,4.5,19,47.36,0,0,0,0,2010
123,Shreevats GoswamiRCB,MI,8,1,1,0,8,8,10,80,0,0,2,0,2010
124,Stuart BinnyMI,DEC,8,1,1,0,8,8,5,160,0,0,1,0,2010
125,Jaskaran SinghDEC,PBKS,8,6,4,3,4*,8,11,72.72,0,0,0,0,2010
126,Vikramjeet MalikPBKS,KKR,6,3,1,0,6,6,5,120,0,0,1,0,2010
127,Ishant SharmaKKR,RCB,6,7,2,1,6*,6,17,35.29,0,0,0,0,2010
128,Anil KumbleRCB,RCB,6,16,5,5,2*,0,11,54.54,0,0,0,0,2010
129,Abhimanyu MithunRCB,RR,5,1,1,0,5,5,4,125,0,0,1,0,2010
130,Swapnil AsnodkarRR,PBKS,5,2,2,0,5,2.5,4,125,0,0,1,0,2010
131,Ramesh PowarPBKS,RR,5,7,2,1,3,5,8,62.5,0,0,0,0,2010
132,Amit UniyalRR,PBKS,4,2,2,1,4*,4,7,57.14,0,0,0,0,2010
133,Reetinder SodhiPBKS,RR,4,3,1,1,4*,0,2,200,0,0,1,0,2010
134,Munaf PatelRR,DC,4,4,2,1,4*,4,5,80,0,0,0,0,2010
135,Dirk NannesDC,RCB,4,9,2,1,3,4,13,30.76,0,0,0,0,2010
136,Praveen KumarRCB,CSK,4,12,4,2,3*,2,8,50,0,0,0,0,2010
137,Arun KarthikCSK,CSK,3,1,1,1,3*,0,5,60,0,0,0,0,2010
138,Sudeep TyagiCSK,DC,3,6,1,1,3*,0,4,75,0,0,0,0,2010
139,Umesh YadavDC,DEC,3,7,1,1,3*,0,4,75,0,0,0,0,2010
140,Pragyan OjhaDEC,DEC,3,16,6,3,2,1,8,37.5,0,0,0,0,2010
141,Azhar BilakhiaDEC,RCB,2,1,1,0,2,2,4,50,0,0,0,0,2010
142,KP AppannaRCB,KKR,2,2,2,1,1*,2,3,66.66,0,0,0,0,2010
143,Rohan GavaskarKKR,CSK,2,2,1,0,2,2,8,25,0,0,0,0,2010
144,Manpreet GonyCSK,MI,2,3,1,0,2,2,6,33.33,0,0,0,0,2010
145,Dilhara FernandoMI,PBKS,2,5,1,1,2*,0,2,100,0,0,0,0,2010
146,Juan TheronPBKS,RCB,2,7,2,0,2,1,5,40,0,0,0,0,2010
147,Roelof van der MerweRCB,KKR,1,1,1,0,1,1,2,50,0,0,0,0,2010
148,Ajantha MendisKKR,RCB,1,2,1,1,1*,0,1,100,0,0,0,0,2010
149,Pankaj SinghRCB,PBKS,1,2,1,0,1,1,2,50,0,0,0,0,2010
150,Shalabh SrivastavaPBKS,KKR,1,8,2,1,1*,1,2,50,0,0,0,0,2010
151,Shane BondKKR,CSK,1,8,1,0,1,1,2,50,0,0,0,0,2010
152,Muttiah MuralitharanCSK,MI,1,12,1,0,1,1,2,50,0,0,0,0,2010
153,Lasith MalingaMI,,1,13,2,2,1*,0,1,100,0,0,0,0,2010
1,Chris GayleRCB,RCB,608,12,12,3,107,67.55,332,183.13,2,3,57,44,2011
2,Virat KohliRCB,MI,557,16,16,4,71,46.41,460,121.08,0,4,55,16,2011
3,Sachin TendulkarMI,PBKS,553,16,16,3,100*,42.53,488,113.31,1,2,67,5,2011
4,Shaun MarshPBKS,CSK,504,14,13,1,95,42,344,146.51,0,4,52,20,2011
5,Michael HusseyCSK,PBKS,492,14,14,2,83*,41,414,118.84,0,4,53,6,2011
6,Paul ValthatyPBKS,CSK,463,14,14,1,120*,35.61,338,136.98,1,2,56,20,2011
7,Suresh RainaCSK,CSK,438,16,16,2,73*,31.28,325,134.76,0,4,36,17,2011
8,Murali VijayCSK,DC,434,16,16,0,95,27.12,339,128.02,0,3,34,20,2011
9,Virender SehwagDC,KKR,424,11,11,0,119,38.54,240,176.66,1,2,51,18,2011
10,Jacques KallisKKR,DEC,424,15,14,2,80*,35.33,378,112.16,0,4,46,6,2011
11,Shikhar DhawanDEC,CSK,400,14,14,2,95*,33.33,310,129.03,0,2,47,7,2011
12,Subramaniam BadrinathCSK,MI,396,16,13,6,71*,56.57,313,126.51,0,5,38,9,2011
13,Ambati RayuduMI,CSK,395,16,16,2,63*,28.21,350,112.85,0,4,44,9,2011
14,MS DhoniCSK,PBKS,392,16,13,4,70*,43.55,247,158.7,0,2,25,23,2011
15,Adam GilchristPBKS,KKR,383,14,14,0,106,27.35,295,129.83,1,2,41,18,2011
16,Gautam GambhirKKR,MI,378,15,15,4,75*,34.36,317,119.24,0,2,44,3,2011
17,Rohit SharmaMI,KKR,372,16,14,3,87,33.81,297,125.25,0,3,32,13,2011
18,Manoj TiwaryKKR,DEC,359,15,14,7,61*,51.28,325,110.46,0,1,26,14,2011
19,Kumar SangakkaraDEC,KTK,358,13,13,0,65,27.53,293,122.18,0,1,44,5,2011
20,Brendon McCullumKTK,RR,357,13,13,0,81,27.46,275,129.81,0,1,35,16,2011
21,Rahul DravidRR,PWI,343,12,12,1,66,31.18,314,109.23,0,1,45,2,2011
22,Yuvraj SinghPWI,DC,343,14,13,3,66*,34.3,261,131.41,0,2,24,18,2011
23,Venugopal RaoDC,RR,336,14,14,2,60,28,280,120,0,1,30,13,2011
24,Shane WatsonRR,DC,330,11,11,1,89*,33,253,130.43,0,1,31,17,2011
25,David WarnerDC,RCB,324,13,13,0,77,24.92,276,117.39,0,3,34,11,2011
26,AB de VilliersRCB,KTK,312,16,13,4,65,34.66,243,128.39,0,2,21,14,2011
27,Mahela JayawardenaKTK,PWI,299,13,13,0,76,23,257,116.34,0,3,35,5,2011
28,Jesse RyderPWI,KTK,292,13,13,0,60,22.46,197,148.22,0,2,37,11,2011
29,Brad HodgeKTK,KTK,285,14,14,6,51*,35.62,236,120.76,0,1,26,9,2011
30,Ravindra JadejaKTK,KKR,283,14,12,3,47,31.44,228,124.12,0,0,20,14,2011
31,Yusuf PathanKKR,PBKS,283,15,11,1,47*,28.3,201,140.79,0,0,24,13,2011
32,Dinesh KarthikPBKS,PWI,282,14,13,2,69,25.63,220,128.18,0,1,32,7,2011
33,Robin UthappaPWI,DEC,264,14,13,3,45,26.4,209,126.31,0,0,27,10,2011
34,Sunny SohalDEC,PWI,249,11,10,0,62,24.9,191,130.36,0,2,25,10,2011
35,Manish PandeyPWI,RR,246,10,9,0,59,27.33,227,108.37,0,1,28,6,2011
36,Johan BothaRR,RCB,230,10,9,4,67*,46,198,116.16,0,1,20,2,2011
37,Tillakaratne DilshanRCB,DEC,226,10,10,2,59*,28.25,180,125.55,0,2,33,3,2011
38,Bharat ChipliDEC,DEC,207,14,13,5,61*,25.87,170,121.76,0,1,21,4,2011
39,JP DuminyDEC,KTK,205,10,10,0,55,20.5,174,117.81,0,1,9,8,2011
40,Parthiv PatelKTK,DC,202,14,13,3,37*,20.2,183,110.38,0,0,25,2,2011
41,James HopesDC,DEC,196,10,8,3,55,39.2,158,124.05,0,2,22,3,2011
42,Dan ChristianDEC,RCB,190,14,13,2,30,17.27,159,119.49,0,0,9,7,2011
43,Saurabh TiwaryRCB,DEC,187,16,13,5,42*,23.37,188,99.46,0,0,13,5,2011
44,Dwaraka Ravi TejaDEC,RR,183,12,9,2,60,26.14,144,127.08,0,1,17,4,2011
45,Ross TaylorRR,RR,181,12,11,6,47*,36.2,152,119.07,0,0,11,7,2011
46,Ashok MenariaRR,DC,180,13,10,1,34,20,152,118.42,0,0,10,10,2011
47,Naman OjhaDC,DC,160,14,14,1,29,12.3,161,99.37,0,0,11,11,2011
48,Irfan PathanDC,MI,150,14,12,4,44*,18.75,138,108.69,0,0,12,6,2011
49,Kieron PollardMI,RCB,146,16,13,3,28,14.6,133,109.77,0,0,12,6,2011
50,Mayank AgarwalRCB,CSK,141,8,7,0,41,20.14,120,117.5,0,0,16,4,2011
51,Albie MorkelCSK,KKR,138,15,13,7,30*,23,102,135.29,0,0,8,8,2011
52,Eoin MorganKKR,MI,137,12,9,0,66,15.22,117,117.09,0,1,17,3,2011
53,Andrew SymondsMI,MI,135,11,9,5,44*,33.75,138,97.82,0,0,9,3,2011
54,Aiden BlizzardMI,RR,120,6,6,0,51,20,87,137.93,0,1,21,2,2011
55,Ajinkya RahaneRR,PWI,120,10,7,1,52,20,98,122.44,0,1,12,2,2011
56,Mithun ManhasPWI,DC,114,10,10,0,35,11.4,123,92.68,0,0,8,4,2011
57,Yogesh NagarDC,KKR,111,11,10,3,23,15.85,100,111,0,0,6,6,2011
58,Ryan ten DoeschateKKR,MI,107,6,3,1,70*,53.5,73,146.57,0,1,9,5,2011
59,James FranklinMI,DEC,107,8,5,3,45*,53.5,78,137.17,0,0,10,2,2011
60,Cameron WhiteDEC,MI,104,6,6,2,31*,26,109,95.41,0,0,6,2,2011
61,Harbhajan SinghMI,MI,103,15,8,5,30,34.33,71,145.07,0,0,9,6,2011
62,Davy JacobsMI,PBKS,92,6,6,0,32,15.33,88,104.54,0,0,10,4,2011
63,Ryan McLarenPBKS,CSK,90,6,4,1,51*,30,96,93.75,0,1,7,1,2011
64,Srikkanth AnirudhaCSK,DC,83,9,5,1,64,20.75,74,112.16,0,1,6,3,2011
65,Travis BirtDC,KTK,75,5,5,0,27,15,58,129.31,0,0,9,2,2011
66,Michael KlingerKTK,KKR,73,4,4,0,29,18.25,77,94.8,0,0,9,0,2011
67,Manvinder BislaKKR,CSK,72,5,5,0,27,14.4,89,80.89,0,0,8,0,2011
68,Wriddhiman SahaCSK,DEC,68,7,3,2,46*,68,63,107.93,0,0,2,4,2011
69,Amit MishraDEC,PWI,68,14,9,5,25*,17,49,138.77,0,0,9,1,2011
70,Mohnish MishraPWI,MI,67,6,5,1,37*,16.75,60,111.66,0,0,5,2,2011
71,Tirumalasetti SumanMI,PBKS,65,8,7,1,36,10.83,51,127.45,0,0,5,5,2011
72,David HusseyPBKS,PBKS,64,8,8,2,21*,10.66,63,101.58,0,0,3,3,2011
73,Abhishek NayarPBKS,RR,61,10,9,2,17*,8.71,67,91.04,0,0,9,0,2011
74,Abhishek RautRR,RCB,60,7,4,1,25,20,58,103.44,0,0,5,1,2011
75,Luke PomersbachRCB,PWI,51,5,4,0,29,12.75,39,130.76,0,0,4,2,2011
76,Sourav GangulyPWI,PWI,50,4,3,1,32*,25,59,84.74,0,0,3,2,2011
77,Mitchell MarshPWI,KTK,50,5,3,1,37,25,49,102.04,0,0,2,3,2011
78,Vinay KumarKTK,RR,50,13,7,1,18,8.33,47,106.38,0,0,4,1,2011
79,Amit PaunikarRR,PWI,49,4,4,0,20,12.25,57,85.96,0,0,9,0,2011
80,Callum FergusonPWI,PBKS,48,5,4,2,16,24,54,88.88,0,0,6,0,2011
81,Piyush ChawlaPBKS,DC,48,12,6,3,15,16,55,87.27,0,0,2,2,2011
82,Aaron FinchDC,PBKS,47,6,6,0,25,7.83,46,102.17,0,0,3,3,2011
83,Mandeep SinghPBKS,KTK,47,6,5,1,15*,11.75,41,114.63,0,0,4,1,2011
84,Raiphi GomezKTK,KTK,46,11,8,3,26*,9.2,50,92,0,0,4,1,2011
85,VVS LaxmanKTK,PBKS,44,3,3,0,36,14.66,42,104.76,0,0,3,2,2011
86,Sunny SinghPBKS,PWI,43,6,5,1,20,10.75,31,138.7,0,0,6,1,2011
87,Graeme SmithPWI,RCB,42,4,4,0,24,10.5,51,82.35,0,0,6,0,2011
88,Mohammad KaifRCB,DC,41,8,4,1,15,13.66,33,124.24,0,0,5,0,2011
89,Morne MorkelDC,RR,40,11,5,3,16*,20,25,160,0,0,3,2,2011
90,Stuart BinnyRR,PWI,37,6,2,1,30,37,31,119.35,0,0,2,1,2011
91,Wayne ParnellPWI,DEC,37,8,5,2,16,12.33,39,94.87,0,0,2,1,2011
92,Dale SteynDEC,RCB,36,12,5,1,13,9,35,102.85,0,0,3,0,2011
93,Cheteshwar PujaraRCB,RCB,34,7,3,0,25,11.33,31,109.67,0,0,4,0,2011
94,Asad PathanRCB,PBKS,33,6,5,1,14,8.25,16,206.25,0,0,5,2,2011
95,Ryan HarrisPBKS,KKR,31,13,7,2,17,6.2,39,79.48,0,0,3,0,2011
96,Shreevats GoswamiKKR,KKR,29,5,4,0,22,7.25,29,100,0,0,5,0,2011
97,Shakib Al HasanKKR,DEC,29,7,3,1,26,14.5,22,131.81,0,0,4,0,2011
98,Ishank JaggiDEC,RCB,28,2,2,0,25,14,37,75.67,0,0,3,0,2011
99,Abhimanyu MithunRCB,PBKS,27,12,6,3,11,9,20,135,0,0,3,1,2011
100,Praveen KumarPBKS,PWI,27,13,7,4,15*,9,31,87.09,0,0,2,1,2011
101,Nathan McCullumPWI,KTK,26,2,2,1,15,26,22,118.18,0,0,0,1,2011
102,Owais ShahKTK,MI,26,3,2,0,23,13,15,173.33,0,0,1,2,2011
103,Rajagopal SathishMI,KKR,25,9,3,1,18*,12.5,34,73.52,0,0,1,0,2011
104,Rajat BhatiaKKR,PWI,25,14,6,3,11,8.33,22,113.63,0,0,3,0,2011
105,Rahul SharmaPWI,PBKS,24,14,5,2,13,8,21,114.28,0,0,1,2,2011
106,Bipul SharmaPBKS,KTK,23,4,3,2,16*,23,18,127.77,0,0,1,0,2011
107,Thisara PereraKTK,RCB,23,4,2,0,22,11.5,27,85.18,0,0,4,0,2011
108,Daniel VettoriRCB,DC,23,13,4,3,18*,23,28,82.14,0,0,1,1,2011
109,Matthew WadeDC,DC,22,3,3,0,11,7.33,33,66.66,0,0,0,0,2011
110,Colin IngramDC,RCB,21,3,3,1,13*,10.5,26,80.76,0,0,2,0,2011
111,Zaheer KhanRCB,RR,21,15,2,0,21,10.5,24,87.5,0,0,2,0,2011
112,Faiz FazalRR,KTK,19,2,2,0,16,9.5,19,100,0,0,3,0,2011
113,Y Gnaneswara RaoKTK,KKR,19,2,1,0,19,19,17,111.76,0,0,3,0,2011
114,Brad HaddinKKR,PWI,18,1,1,0,18,18,11,163.63,0,0,2,1,2011
115,Sachin RanaPWI,RCB,18,2,1,0,18,18,16,112.5,0,0,2,0,2011
116,Johan van der WathRCB,KTK,18,3,3,1,14*,9,16,112.5,0,0,1,1,2011
117,Kedar JadhavKTK,RR,18,6,4,1,12,6,23,78.26,0,0,1,0,2011
118,Dishant YagnikRR,RCB,16,7,4,3,10*,16,22,72.72,0,0,1,0,2011
119,Syed MohammadRCB,KKR,15,5,2,2,13*,0,12,125,0,0,2,0,2011
120,Iqbal AbdullaKKR,KKR,15,15,2,2,12*,0,12,125,0,0,1,0,2011
121,Laxmi Ratan ShuklaKKR,PWI,14,1,1,0,14,14,10,140,0,0,2,0,2011
122,Harpreet SinghPWI,DC,14,2,2,1,13,14,20,70,0,0,0,0,2011
123,Roelof van der MerweDC,KTK,14,4,4,4,8*,0,16,87.5,0,0,1,0,2011
124,Balachandra AkhilKTK,RCB,13,1,1,0,13,13,9,144.44,0,0,0,1,2011
125,Sreenath AravindRCB,PWI,13,13,2,2,11*,0,8,162.5,0,0,2,0,2011
126,Murali KartikPWI,KTK,12,6,3,2,11,12,15,80,0,0,1,0,2011
127,Ramesh PowarKTK,CSK,11,5,3,2,8*,11,13,84.61,0,0,0,0,2011
128,Dwayne BravoCSK,PWI,11,6,2,1,6*,11,6,183.33,0,0,1,1,2011
129,Tim PainePWI,PWI,10,2,2,0,8,5,26,38.46,0,0,0,0,2011
130,Abhishek JhunjhunwalaPWI,RR,10,3,2,0,10,5,18,55.55,0,0,2,0,2011
131,Shaun TaitRR,RR,10,4,2,1,10*,10,10,100,0,0,1,0,2011
132,Shane WarneRR,PBKS,10,13,4,2,5*,5,20,50,0,0,1,0,2011
133,Siddharth ChitnisPBKS,RR,9,1,1,0,9,9,9,100,0,0,1,0,2011
134,Swapnil AsnodkarRR,DC,9,1,1,0,9,9,9,100,0,0,1,0,2011
135,Andrew McDonaldDC,RCB,8,1,1,0,8,8,7,114.28,0,0,0,0,2011
136,Charl LangeveldtRCB,MI,8,3,1,0,8,8,8,100,0,0,0,1,2011
137,Lasith MalingaMI,DEC,8,16,4,1,7,2.66,9,88.88,0,0,0,1,2011
