year,stage,venue,date_time,summary,team1,score1,team2,score2
2012,,"MATCH 24
IS Bindra Stadium, Mohali
APR, FRI 20 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Punjab Kings,163/6,Royal Challengers Bangalore,166/5
2012,,"MATCH 23
Arun Jaitley Stadium, Delhi
APR, THU 19 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 5 WICKETS,Delhi Daredevils,162/5,Deccan Chargers,157/8
2012,,"MATCH 22
IS Bindra Stadium, Mohali
APR, WED 18 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Punjab Kings,124/7,Kolkata Knight Riders,127/2
2012,,"MATCH 21
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 17 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,Royal Challengers Bangalore,186/4,Pune Warriors India,182/6
2012,,"MATCH 20
Sawai Mansingh Stadium, Jaipur
APR, TUE 17 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 5 WICKETS,Rajasthan Royals,197/5,Deccan Chargers,196/2
2012,,"MATCH 19
Wankhede Stadium, Mumbai
APR, MON 16 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 7 WICKETS,Mumbai Indians,92,Delhi Daredevils,93/3
2012,,"MATCH 18
M. Chinnaswamy Stadium, Bengaluru
APR, SUN 15 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 59 RUNS,Royal Challengers Bangalore,136,Rajasthan Royals,195/2
2012,,"MATCH 17
Eden Gardens, Kolkata
APR, SUN 15 , 4:00 pm IST",,PUNJAB KINGS WON BY 2 RUNS,Kolkata Knight Riders,132/7,Punjab Kings,134/9
2012,,"MATCH 16
Pune
APR, SAT 14 , 8:00 pm IST",,PUNE WARRIORS INDIA WON BY 7 WICKETS,Pune Warriors India,156/3,Chennai Super Kings,155/5
2012,,"MATCH 15
Eden Gardens, Kolkata
APR, FRI 13 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders,137/5,Rajasthan Royals,131/5
2012,,"MATCH 14
IS Bindra Stadium, Mohali
APR, THU 12 , 8:00 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Punjab Kings,116/3,Pune Warriors India,115
2012,,"MATCH 13
M. A. Chidambaram Stadium, Chennai
APR, THU 12 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Chennai Super Kings,208/5,Royal Challengers Bangalore,205/8
2012,,"MATCH 12
Wankhede Stadium, Mumbai
APR, WED 11 , 8:00 pm IST",,MUMBAI INDIANS WON BY 27 RUNS,Mumbai Indians,197/6,Rajasthan Royals,170
2012,,"MATCH 11
Arun Jaitley Stadium, Delhi
APR, TUE 10 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 8 WICKETS,Delhi Daredevils,111/2,Chennai Super Kings,110/8
2012,,"MATCH 10
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 10 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 42 RUNS,Royal Challengers Bangalore,123/9,Kolkata Knight Riders,165/8
2012,,"MATCH 9
ACA-VDCA Stadium, Visakhapatnam
APR, MON 9 , 8:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Deccan Chargers,138/9,Mumbai Indians,142/5
2012,,"MATCH 8
Pune
APR, SUN 8 , 8:00 pm IST",,PUNE WARRIORS INDIA WON BY 22 RUNS,Pune Warriors India,166/6,Punjab Kings,144/8
2012,,"MATCH 7
Sawai Mansingh Stadium, Jaipur
APR, SUN 8 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 22 RUNS,Rajasthan Royals,164/5,Kolkata Knight Riders,142
2012,,"MATCH 6
ACA-VDCA Stadium, Visakhapatnam
APR, SAT 7 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 74 RUNS,Deccan Chargers,119,Chennai Super Kings,193/6
2012,,"MATCH 5
M. Chinnaswamy Stadium, Bengaluru
APR, SAT 7 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 20 RUNS,Royal Challengers Bangalore,157/8,Delhi Daredevils,137/7
2012,,"MATCH 4
Sawai Mansingh Stadium, Jaipur
APR, FRI 6 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 31 RUNS,Rajasthan Royals,191/4,Punjab Kings,160/9
2012,,"MATCH 3
Wankhede Stadium, Mumbai
APR, FRI 6 , 4:00 pm IST",,PUNE WARRIORS INDIA WON BY 28 RUNS,Mumbai Indians,101/9,Pune Warriors India,129/9
2012,,"MATCH 2
Eden Gardens, Kolkata
APR, THU 5 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 8 WICKETS,Kolkata Knight Riders,97/9,Delhi Daredevils,100/2
2012,,"MATCH 1
M. A. Chidambaram Stadium, Chennai
APR, WED 4 , 8:00 pm IST",,MUMBAI INDIANS WON BY 8 WICKETS,Chennai Super Kings,112,Mumbai Indians,115/2
2013,,"MATCH 76
Eden Gardens, Kolkata
MAY, SUN 26 , 8:00 pm IST",,MUMBAI INDIANS WON BY 23 RUNS,Chennai Super Kings,125/9,Mumbai Indians,148/9
2013,,"MATCH 75
Eden Gardens, Kolkata
MAY, FRI 24 , 8:00 pm IST",,MUMBAI INDIANS WON BY 4 WICKETS,Rajasthan Royals,165/6,Mumbai Indians,169/6
2013,,"MATCH 74
Arun Jaitley Stadium, Delhi
MAY, WED 22 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 4 WICKETS,Rajasthan Royals,135/6,Sunrisers Hyderabad,132/7
2013,,"MATCH 73
Arun Jaitley Stadium, Delhi
MAY, TUE 21 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 48 RUNS,Chennai Super Kings,192/1,Mumbai Indians,144
2013,,"MATCH 72
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SUN 19 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 WICKETS,Sunrisers Hyderabad,132/5,Kolkata Knight Riders,130/7
2013,,"MATCH 71
Pune
MAY, SUN 19 , 4:00 pm IST",,PUNE WARRIORS INDIA WON BY 38 RUNS,Pune Warriors India,172/5,Delhi Daredevils,134/9
2013,,"MATCH 70
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 18 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 24 RUNS,Royal Challengers Bangalore,106/2,Chennai Super Kings,82/6
2013,,"MATCH 69
HPCA Stadium, Dharamsala
MAY, SAT 18 , 4:00 pm IST",,PUNJAB KINGS WON BY 50 RUNS,Punjab Kings,183/8,Mumbai Indians,133/9
2013,,"MATCH 68
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, FRI 17 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 23 RUNS,Sunrisers Hyderabad,136/9,Rajasthan Royals,113/9
2013,,"MATCH 67
HPCA Stadium, Dharamsala
MAY, THU 16 , 8:00 pm IST",,PUNJAB KINGS WON BY 7 RUNS,Punjab Kings,171/4,Delhi Daredevils,164/7
2013,,"MATCH 66
Wankhede Stadium, Mumbai
MAY, WED 15 , 8:00 pm IST",,MUMBAI INDIANS WON BY 14 RUNS,Mumbai Indians,166/8,Rajasthan Royals,152/7
2013,,"MATCH 65
JSCA International Cricket Stadium, Ranchi
MAY, WED 15 , 4:00 pm IST",,PUNE WARRIORS INDIA WON BY 7 RUNS,Kolkata Knight Riders,163/7,Pune Warriors India,170/4
2013,,"MATCH 64
M. A. Chidambaram Stadium, Chennai
MAY, TUE 14 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 33 RUNS,Chennai Super Kings,168/4,Delhi Daredevils,135/9
2013,,"MATCH 63
M. Chinnaswamy Stadium, Bengaluru
MAY, TUE 14 , 4:00 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Royal Challengers Bangalore,174/5,Punjab Kings,176/3
2013,,"MATCH 62
Wankhede Stadium, Mumbai
MAY, MON 13 , 8:00 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Mumbai Indians,184/3,Sunrisers Hyderabad,178/3
2013,,"MATCH 61
Sawai Mansingh Stadium, Jaipur
MAY, SUN 12 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 5 WICKETS,Rajasthan Royals,144/5,Chennai Super Kings,141/4
2013,,"MATCH 60
JSCA International Cricket Stadium, Ranchi
MAY, SUN 12 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders,116/5,Royal Challengers Bangalore,115/9
2013,,"MATCH 59
IS Bindra Stadium, Mohali
MAY, SAT 11 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 30 RUNS,Punjab Kings,120/9,Sunrisers Hyderabad,150/7
2013,,"MATCH 58
Pune
MAY, SAT 11 , 4:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Pune Warriors India,112/8,Mumbai Indians,116/5
2013,,"MATCH 57
Arun Jaitley Stadium, Delhi
MAY, FRI 10 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 4 RUNS,Delhi Daredevils,179/7,Royal Challengers Bangalore,183/4
2013,,"MATCH 56
Pune
MAY, THU 9 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 46 RUNS,Pune Warriors India,106,Kolkata Knight Riders,152/6
2013,,"MATCH 55
IS Bindra Stadium, Mohali
MAY, THU 9 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Punjab Kings,145/6,Rajasthan Royals,147/2
2013,,"MATCH 54
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, WED 8 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 77 RUNS,Sunrisers Hyderabad,146/8,Chennai Super Kings,223/3
2013,,"MATCH 53
Wankhede Stadium, Mumbai
MAY, TUE 7 , 8:00 pm IST",,MUMBAI INDIANS WON BY 65 RUNS,Mumbai Indians,170/6,Kolkata Knight Riders,105
2013,,"MATCH 52
Sawai Mansingh Stadium, Jaipur
MAY, TUE 7 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 9 WICKETS,Rajasthan Royals,155/1,Delhi Daredevils,154/4
2013,,"MATCH 51
IS Bindra Stadium, Mohali
MAY, MON 6 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,194/4,Royal Challengers Bangalore,190/3
2013,,"MATCH 50
Sawai Mansingh Stadium, Jaipur
MAY, SUN 5 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 5 WICKETS,Rajasthan Royals,182/5,Pune Warriors India,178/4
2013,,"MATCH 49
Wankhede Stadium, Mumbai
MAY, SUN 5 , 4:00 pm IST",,MUMBAI INDIANS WON BY 60 RUNS,Mumbai Indians,139/5,Chennai Super Kings,79
2013,,"MATCH 48
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SAT 4 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 6 WICKETS,Sunrisers Hyderabad,81/4,Delhi Daredevils,80
2013,,"MATCH 47
Eden Gardens, Kolkata
MAY, FRI 3 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Kolkata Knight Riders,133/2,Rajasthan Royals,132/6
2013,,"MATCH 46
Pune
MAY, THU 2 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 17 RUNS,Pune Warriors India,170/9,Royal Challengers Bangalore,187/3
2013,,"MATCH 45
M. A. Chidambaram Stadium, Chennai
MAY, THU 2 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 15 RUNS,Chennai Super Kings,186/4,Punjab Kings,171/6
2013,,"MATCH 44
Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur
MAY, WED 1 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 7 WICKETS,Delhi Daredevils,137/3,Kolkata Knight Riders,136/7
2013,,"MATCH 43
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, WED 1 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 7 WICKETS,Sunrisers Hyderabad,130/3,Mumbai Indians,129/4
2013,,"MATCH 42
Pune
APR, TUE 30 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 37 RUNS,Pune Warriors India,127/9,Chennai Super Kings,164/3
2013,,"MATCH 41
Wankhede Stadium, Mumbai
APR, MON 29 , 8:00 pm IST",,MUMBAI INDIANS WON BY 4 RUNS,Mumbai Indians,174/3,Punjab Kings,170
2013,,"MATCH 40
Sawai Mansingh Stadium, Jaipur
APR, MON 29 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 4 WICKETS,Rajasthan Royals,173/6,Royal Challengers Bangalore,171/6
2013,,"MATCH 39
Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur
APR, SUN 28 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 15 RUNS,Delhi Daredevils,164/5,Pune Warriors India,149/4
2013,,"MATCH 38
M. A. Chidambaram Stadium, Chennai
APR, SUN 28 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 14 RUNS,Chennai Super Kings,200/3,Kolkata Knight Riders,186/4
2013,,"MATCH 37
Wankhede Stadium, Mumbai
APR, SAT 27 , 8:00 pm IST",,MUMBAI INDIANS WON BY 58 RUNS,Mumbai Indians,194/7,Royal Challengers Bangalore,136/7
2013,,"MATCH 36
Sawai Mansingh Stadium, Jaipur
APR, SAT 27 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,146/2,Sunrisers Hyderabad,144/9
2013,,"MATCH 35
Eden Gardens, Kolkata
APR, FRI 26 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders,150/4,Punjab Kings,149/6
2013,,"MATCH 34
M. A. Chidambaram Stadium, Chennai
APR, THU 25 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Chennai Super Kings,160/5,Sunrisers Hyderabad,159/6
2013,,"MATCH 33
Eden Gardens, Kolkata
APR, WED 24 , 8:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Kolkata Knight Riders,159/6,Mumbai Indians,162/5
2013,,"MATCH 32
Arun Jaitley Stadium, Delhi
APR, TUE 23 , 8:00 pm IST",,PUNJAB KINGS WON BY 5 WICKETS,Delhi Daredevils,120/7,Punjab Kings,121/5
2013,,"MATCH 31
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 23 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 130 RUNS,Royal Challengers Bangalore,263/5,Pune Warriors India,133/9
2013,,"MATCH 30
M. A. Chidambaram Stadium, Chennai
APR, MON 22 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Chennai Super Kings,186/5,Rajasthan Royals,185/4
2013,,"MATCH 29
IS Bindra Stadium, Mohali
APR, SUN 21 , 8:00 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Punjab Kings,186/3,Pune Warriors India,185/4
2013,,"MATCH 28
Arun Jaitley Stadium, Delhi
APR, SUN 21 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 9 WICKETS,Delhi Daredevils,165/1,Mumbai Indians,161/4
2013,,"MATCH 27
M. Chinnaswamy Stadium, Bengaluru
APR, SAT 20 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,123/3,Rajasthan Royals,117
2013,,"MATCH 26
Eden Gardens, Kolkata
APR, SAT 20 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 4 WICKETS,Kolkata Knight Riders,119/9,Chennai Super Kings,124/6
2013,,"MATCH 25
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, FRI 19 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 WICKETS,Sunrisers Hyderabad,127/5,Punjab Kings,123/9
2013,,"MATCH 24
Arun Jaitley Stadium, Delhi
APR, THU 18 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 86 RUNS,Delhi Daredevils,83,Chennai Super Kings,169/4
2013,,"MATCH 23
Sawai Mansingh Stadium, Jaipur
APR, WED 17 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 87 RUNS,Rajasthan Royals,179/3,Mumbai Indians,92
2013,,"MATCH 22
Pune
APR, WED 17 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 11 RUNS,Pune Warriors India,108,Sunrisers Hyderabad,119/8
2013,,"MATCH 21
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 16 , 8:00 pm IST",,MATCH TIED (ROYAL CHALLENGERS BANGALORE WON SUPER OVER),Royal Challengers Bangalore,152/7,Delhi Daredevils,152/5
2013,,"MATCH 20
IS Bindra Stadium, Mohali
APR, TUE 16 , 4:00 pm IST",,PUNJAB KINGS WON BY 4 RUNS,Punjab Kings,157/9,Kolkata Knight Riders,153/9
2013,,"MATCH 19
M. A. Chidambaram Stadium, Chennai
APR, MON 15 , 8:00 pm IST",,PUNE WARRIORS INDIA WON BY 24 RUNS,Chennai Super Kings,135/8,Pune Warriors India,159/5
2013,,"MATCH 18
Sawai Mansingh Stadium, Jaipur
APR, SUN 14 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 6 WICKETS,Rajasthan Royals,126/4,Punjab Kings,124
2013,,"MATCH 17
Eden Gardens, Kolkata
APR, SUN 14 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 48 RUNS,Kolkata Knight Riders,180/4,Sunrisers Hyderabad,132/7
2013,,"MATCH 16
M. A. Chidambaram Stadium, Chennai
APR, SAT 13 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 4 WICKETS,Chennai Super Kings,166/6,Royal Challengers Bangalore,165/6
2013,,"MATCH 15
Wankhede Stadium, Mumbai
APR, SAT 13 , 4:00 pm IST",,MUMBAI INDIANS WON BY 41 RUNS,Mumbai Indians,183/3,Pune Warriors India,142/8
2013,,"MATCH 14
Arun Jaitley Stadium, Delhi
APR, FRI 12 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 3 WICKETS,Delhi Daredevils,114/8,Sunrisers Hyderabad,115/7
2013,,"MATCH 13
Pune
APR, THU 11 , 8:00 pm IST",,PUNE WARRIORS INDIA WON BY 7 WICKETS,Pune Warriors India,148/3,Rajasthan Royals,145/5
2013,,"MATCH 12
M. Chinnaswamy Stadium, Bengaluru
APR, THU 11 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,Royal Challengers Bangalore,158/2,Kolkata Knight Riders,154/8
2013,,"MATCH 11
IS Bindra Stadium, Mohali
APR, WED 10 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 10 WICKETS,Punjab Kings,138,Chennai Super Kings,139/0
2013,,"MATCH 10
Wankhede Stadium, Mumbai
APR, TUE 9 , 8:00 pm IST",,MUMBAI INDIANS WON BY 44 RUNS,Mumbai Indians,209/5,Delhi Daredevils,165/9
2013,,"MATCH 9
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 9 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,162/3,Sunrisers Hyderabad,161/6
2013,,"MATCH 8
Sawai Mansingh Stadium, Jaipur
APR, MON 8 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 19 RUNS,Rajasthan Royals,144/6,Kolkata Knight Riders,125
2013,,"MATCH 7
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SUN 7 , 8:00 pm IST",,MATCH TIED (SUNRISERS HYDERABAD WON SUPER OVER),Sunrisers Hyderabad,130/7,Royal Challengers Bangalore,130/8
2013,,"MATCH 6
Pune
APR, SUN 7 , 4:00 pm IST",,PUNJAB KINGS WON BY 8 WICKETS,Pune Warriors India,99/9,Punjab Kings,100/2
2013,,"MATCH 5
M. A. Chidambaram Stadium, Chennai
APR, SAT 6 , 8:00 pm IST",,MUMBAI INDIANS WON BY 9 RUNS,Chennai Super Kings,139/9,Mumbai Indians,148/6
2013,,"MATCH 4
Arun Jaitley Stadium, Delhi
APR, SAT 6 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 5 RUNS,Delhi Daredevils,160/6,Rajasthan Royals,165/7
2013,,"MATCH 3
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, FRI 5 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 22 RUNS,Sunrisers Hyderabad,126/6,Pune Warriors India,104
2013,,"MATCH 2
M. Chinnaswamy Stadium, Bengaluru
APR, THU 4 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 2 RUNS,Royal Challengers Bangalore,156/5,Mumbai Indians,154/5
2013,,"MATCH 1
Eden Gardens, Kolkata
APR, WED 3 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders,129/4,Delhi Daredevils,128
2014,,"MATCH 60
M. Chinnaswamy Stadium, Bengaluru
JUN, SUN 1 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,Punjab Kings,199/4,Kolkata Knight Riders,200/7
2014,,"MATCH 59
Wankhede Stadium, Mumbai
MAY, FRI 30 , 8:00 pm IST",,PUNJAB KINGS WON BY 24 RUNS,Punjab Kings,226/6,Chennai Super Kings,202/7
2014,,"MATCH 58
Brabourne Stadium, Mumbai
MAY, WED 28 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings,176/3,Mumbai Indians,173/8
2014,,"MATCH 57
Eden Gardens, Kolkata
MAY, WED 28 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 28 RUNS,Punjab Kings,135/8,Kolkata Knight Riders,163/8
2014,,"MATCH 56
Wankhede Stadium, Mumbai
MAY, SUN 25 , 8:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,195/5,Rajasthan Royals,189/4
2014,,"MATCH 55
IS Bindra Stadium, Mohali
MAY, SUN 25 , 4:00 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Punjab Kings,119/3,Delhi Daredevils,115
2014,,"MATCH 54
Eden Gardens, Kolkata
MAY, SAT 24 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 4 WICKETS,Kolkata Knight Riders,161/6,Sunrisers Hyderabad,160/7
2014,,"MATCH 53
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 24 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 8 WICKETS,Royal Challengers Bangalore,154/6,Chennai Super Kings,160/2
2014,,"MATCH 52
IS Bindra Stadium, Mohali
MAY, FRI 23 , 8:00 pm IST",,PUNJAB KINGS WON BY 16 RUNS,Punjab Kings,179/4,Rajasthan Royals,163/8
2014,,"MATCH 51
Wankhede Stadium, Mumbai
MAY, FRI 23 , 4:00 pm IST",,MUMBAI INDIANS WON BY 15 RUNS,Mumbai Indians,173,Delhi Daredevils,158/4
2014,,"MATCH 50
JSCA International Cricket Stadium, Ranchi
MAY, THU 22 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 6 WICKETS,Chennai Super Kings,185/3,Sunrisers Hyderabad,189/4
2014,,"MATCH 49
Eden Gardens, Kolkata
MAY, THU 22 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 30 RUNS,Kolkata Knight Riders,195/4,Royal Challengers Bangalore,165/5
2014,,"MATCH 48
IS Bindra Stadium, Mohali
MAY, WED 21 , 8:00 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Punjab Kings,156/8,Mumbai Indians,159/3
2014,,"MATCH 47
Eden Gardens, Kolkata
MAY, TUE 20 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Kolkata Knight Riders,156/2,Chennai Super Kings,154/4
2014,,"MATCH 46
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, TUE 20 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 7 WICKETS,Sunrisers Hyderabad,161/3,Royal Challengers Bangalore,160/6
2014,,"MATCH 45
Arun Jaitley Stadium, Delhi
MAY, MON 19 , 8:00 pm IST",,PUNJAB KINGS WON BY 4 WICKETS,Delhi Daredevils,164/7,Punjab Kings,165/6
2014,,"MATCH 44
Narendra Modi Stadium, Ahmedabad
MAY, MON 19 , 4:00 pm IST",,MUMBAI INDIANS WON BY 25 RUNS,Rajasthan Royals,153/8,Mumbai Indians,178/3
2014,,"MATCH 43
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SUN 18 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Sunrisers Hyderabad,142/8,Kolkata Knight Riders,146/3
2014,,"MATCH 42
JSCA International Cricket Stadium, Ranchi
MAY, SUN 18 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Chennai Super Kings,138/4,Royal Challengers Bangalore,142/5
2014,,"MATCH 41
Narendra Modi Stadium, Ahmedabad
MAY, THU 15 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 62 RUNS,Rajasthan Royals,201/6,Delhi Daredevils,139/9
2014,,"MATCH 40
Barabati Stadium, Cuttack
MAY, WED 14 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders,142/4,Mumbai Indians,141/5
2014,,"MATCH 39
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, WED 14 , 4:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Sunrisers Hyderabad,205/5,Punjab Kings,211/4
2014,,"MATCH 38
M. Chinnaswamy Stadium, Bengaluru
MAY, TUE 13 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 16 RUNS,Royal Challengers Bangalore,186/4,Delhi Daredevils,170/7
2014,,"MATCH 37
JSCA International Cricket Stadium, Ranchi
MAY, TUE 13 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Chennai Super Kings,149/5,Rajasthan Royals,148/8
2014,,"MATCH 36
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, MON 12 , 8:00 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Sunrisers Hyderabad,157/3,Mumbai Indians,160/3
2014,,"MATCH 35
M. Chinnaswamy Stadium, Bengaluru
MAY, SUN 11 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 5 WICKETS,Royal Challengers Bangalore,190/5,Rajasthan Royals,191/5
2014,,"MATCH 34
Barabati Stadium, Cuttack
MAY, SUN 11 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 9 WICKETS,Punjab Kings,149/8,Kolkata Knight Riders,150/1
2014,,"MATCH 33
Wankhede Stadium, Mumbai
MAY, SAT 10 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 4 WICKETS,Mumbai Indians,157/6,Chennai Super Kings,160/6
2014,,"MATCH 32
Arun Jaitley Stadium, Delhi
MAY, SAT 10 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 8 WICKETS (D/L METHOD),Delhi Daredevils,143/7,Sunrisers Hyderabad,44/2
2014,,"MATCH 31
M. Chinnaswamy Stadium, Bengaluru
MAY, FRI 9 , 8:00 pm IST",,PUNJAB KINGS WON BY 32 RUNS,Royal Challengers Bangalore,166/9,Punjab Kings,198/8
2014,,"MATCH 30
Narendra Modi Stadium, Ahmedabad
MAY, THU 8 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 32 RUNS,Rajasthan Royals,102,Sunrisers Hyderabad,134/9
