year,stage,venue,date_time,summary,team1,score1,team2,score2
2008,,"MATCH 30
Sawai Mansingh Stadium, Jaipur
MAY, FRI 9 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,141/2,Deccan Chargers,140/8
2008,,"MATCH 29
Eden Gardens, Kolkata
MAY, THU 8 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 RUNS,Kolkata Knight Riders,129/7,Royal Challengers Bangalore,124/4
2008,,"MATCH 28
Arun Jaitley Stadium, Delhi
MAY, THU 8 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 4 WICKETS,Delhi Daredevils,187/5,Chennai Super Kings,188/6
2008,,"MATCH 27
DY Patil Stadium, NAVI MUMBAI
MAY, WED 7 , 8:00 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Mumbai Indians,104/3,Rajasthan Royals,103
2008,,"MATCH 26
M. A. Chidambaram Stadium, Chennai
MAY, TUE 6 , 8:00 pm IST",,DECCAN CHARGERS WON BY 7 WICKETS,Chennai Super Kings,144/7,Deccan Chargers,148/3
2008,,"MATCH 25
M. Chinnaswamy Stadium, Bengaluru
MAY, MON 5 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Royal Challengers Bangalore,126,Punjab Kings,127/4
2008,,"MATCH 24
Sawai Mansingh Stadium, Jaipur
MAY, SUN 4 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,110/2,Chennai Super Kings,109
2008,,"MATCH 23
DY Patil Stadium, NAVI MUMBAI
MAY, SUN 4 , 4:00 pm IST",,MUMBAI INDIANS WON BY 29 RUNS,Mumbai Indians,162/8,Delhi Daredevils,133
2008,,"MATCH 22
IS Bindra Stadium, Mohali
MAY, SAT 3 , 8:00 pm IST",,PUNJAB KINGS WON BY 9 RUNS,Punjab Kings,178/6,Kolkata Knight Riders,169/6
2008,,"MATCH 21
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 3 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 3 RUNS,Royal Challengers Bangalore,156/8,Deccan Chargers,153/6
2008,,"MATCH 20
M. A. Chidambaram Stadium, Chennai
MAY, FRI 2 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 8 WICKETS,Chennai Super Kings,169/6,Delhi Daredevils,172/2
2008,,"MATCH 19
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, THU 1 , 8:00 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Deccan Chargers,164/8,Punjab Kings,167/3
2008,,"MATCH 18
Sawai Mansingh Stadium, Jaipur
MAY, THU 1 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 45 RUNS,Rajasthan Royals,196/7,Kolkata Knight Riders,151
2008,,"MATCH 17
Arun Jaitley Stadium, Delhi
APR, WED 30 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 10 RUNS,Delhi Daredevils,191/5,Royal Challengers Bangalore,181/5
2008,,"MATCH 16
Eden Gardens, Kolkata
APR, TUE 29 , 8:00 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Kolkata Knight Riders,137/8,Mumbai Indians,138/3
2008,,"MATCH 15
M. Chinnaswamy Stadium, Bengaluru
APR, MON 28 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 13 RUNS,Royal Challengers Bangalore,165,Chennai Super Kings,178/5
2008,,"MATCH 14
DY Patil Stadium, NAVI MUMBAI
APR, SUN 27 , 8:00 pm IST",,DECCAN CHARGERS WON BY 10 WICKETS,Mumbai Indians,154/7,Deccan Chargers,155/0
2008,,"MATCH 13
IS Bindra Stadium, Mohali
APR, SUN 27 , 4:00 pm IST",,PUNJAB KINGS WON BY 4 WICKETS,Punjab Kings,162/6,Delhi Daredevils,158/8
2008,,"MATCH 12
M. Chinnaswamy Stadium, Bengaluru
APR, SAT 26 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Royal Challengers Bangalore,135/8,Rajasthan Royals,138/3
2008,,"MATCH 11
M. A. Chidambaram Stadium, Chennai
APR, SAT 26 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 9 WICKETS,Chennai Super Kings,152/1,Kolkata Knight Riders,147/9
2008,,"MATCH 10
IS Bindra Stadium, Mohali
APR, FRI 25 , 8:00 pm IST",,PUNJAB KINGS WON BY 66 RUNS,Punjab Kings,182,Mumbai Indians,116/9
2008,,"MATCH 9
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, THU 24 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 3 WICKETS,Deccan Chargers,214/5,Rajasthan Royals,217/7
2008,,"MATCH 8
M. A. Chidambaram Stadium, Chennai
APR, WED 23 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 6 RUNS,Chennai Super Kings,208/5,Mumbai Indians,202/7
2008,,"MATCH 7
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, TUE 22 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 9 WICKETS,Deccan Chargers,142/8,Delhi Daredevils,143/1
2008,,"MATCH 6
Sawai Mansingh Stadium, Jaipur
APR, MON 21 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 6 WICKETS,Rajasthan Royals,168/4,Punjab Kings,166/8
2008,,"MATCH 5
Wankhede Stadium, Mumbai
APR, SUN 20 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Mumbai Indians,165/6,Royal Challengers Bangalore,166/5
2008,,"MATCH 4
Eden Gardens, Kolkata
APR, SUN 20 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders,112/5,Deccan Chargers,110
2008,,"MATCH 3
Arun Jaitley Stadium, Delhi
APR, SAT 19 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 9 WICKETS,Delhi Daredevils,132/1,Rajasthan Royals,129/8
2008,,"MATCH 2
IS Bindra Stadium, Mohali
APR, SAT 19 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 33 RUNS,Punjab Kings,207/4,Chennai Super Kings,240/5
2008,,"MATCH 1
M. Chinnaswamy Stadium, Bengaluru
APR, FRI 18 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 140 RUNS,Royal Challengers Bangalore,82,Kolkata Knight Riders,222/3
2009,,"MATCH 59
New Wanderers Stadium, Johannesburg
MAY, SUN 24 , 8:00 pm IST",,DECCAN CHARGERS WON BY 6 RUNS,Royal Challengers Bangalore,137/9,Deccan Chargers,143/6
2009,,"MATCH 58
New Wanderers Stadium, Johannesburg
MAY, SAT 23 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,Royal Challengers Bangalore,149/4,Chennai Super Kings,146/5
2009,,"MATCH 57
SuperSport Park, Centurion
MAY, FRI 22 , 8:00 pm IST",,DECCAN CHARGERS WON BY 6 WICKETS,Delhi Daredevils,153/8,Deccan Chargers,154/4
2009,,"MATCH 56
SuperSport Park, Centurion
MAY, THU 21 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 12 RUNS,Royal Challengers Bangalore,170/4,Deccan Chargers,158/6
2009,,"MATCH 55
SuperSport Park, Centurion
MAY, THU 21 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 4 WICKETS,Delhi Daredevils,166/6,Mumbai Indians,165/8
2009,,"MATCH 54
Kingsmead, Durban
MAY, WED 20 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 24 RUNS,Chennai Super Kings,116/9,Punjab Kings,92/8
2009,,"MATCH 53
Kingsmead, Durban
MAY, WED 20 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 4 WICKETS,Kolkata Knight Riders,102/6,Rajasthan Royals,101/9
2009,,"MATCH 52
New Wanderers Stadium, Johannesburg
MAY, TUE 19 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,135/3,Delhi Daredevils,134/7
2009,,"MATCH 51
SuperSport Park, Centurion
MAY, MON 18 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Chennai Super Kings,188/3,Kolkata Knight Riders,189/3
2009,,"MATCH 50
OUTsurance Oval, Bloemfontein
MAY, SUN 17 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 14 RUNS,Delhi Daredevils,150/3,Rajasthan Royals,136/9
2009,,"MATCH 49
New Wanderers Stadium, Johannesburg
MAY, SUN 17 , 4:00 pm IST",,PUNJAB KINGS WON BY 1 RUN,Deccan Chargers,133/8,Punjab Kings,134/7
2009,,"MATCH 48
New Wanderers Stadium, Johannesburg
MAY, SAT 16 , 8:00 pm IST",,DECCAN CHARGERS WON BY 6 WICKETS,Deccan Chargers,166/4,Kolkata Knight Riders,160/5
2009,,"MATCH 47
Port Elizabeth
MAY, SAT 16 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings,151/3,Mumbai Indians,147/5
